"oms_id","oms_name","layer","from_site_id","to_site_id","hops","length","cost"
0,"Site 0191-Site 0193 OMS1","OL","S0191X","S0193X",1,8.895,48.895
3,"Site 0191-Site 0209 OMS1","OL","S0191X","S0209X",3,6.075,46.075
6,"Site 0183-Site 0191 OMS1","UL","S0183X","S0191X",5,18.794,78.794
10,"Site 0275-Site 0191 OMS1","UL","S0275X","S0191X",2,23.474,83.474
23,"Site 0291-Site 0191 OMS1","UL","S0291X","S0191X",3,29.195,89.195
26,"Site 0258-Site 0143 OMS1","OL","S0258X","S0143X",3,37.927,97.927
28,"Site 0143-Site 0153 OMS1","UL","S0143X","S0153X",1,43.444,123.444
38,"Site 0258-Site 0303 OMS1","UL","S0258X","S0303X",1,31.249,91.249
45,"Site 0258-Site 0300 OMS1","UL","S0258X","S0300X",2,18.222,78.222
47,"Site 0258-Site 0230 OMS1","UL","S0258X","S0230X",2,21.650,81.650
64,"Site 0193-Site 0239 OMS1","UL","S0193X","S0239X",1,7.907,67.907
75,"Site 0233-Site 0193 OMS1","UL","S0233X","S0193X",3,13.109,73.109
77,"Site 0193-Site 0198 OMS2","UL","S0193X","S0198X",2,6.906,66.906
88,"Site 0329-Site 0282 OMS4","UL","S0329X","S0282X",3,51.153,131.153
97,"Site 0282-Site 0262 OMS1","UL","S0282X","S0262X",2,11.099,91.099
101,"Site 0257-Site 0125 OMS1","OL","S0257X","S0125X",1,53.390,133.390
102,"Site 0257-Site 0124 OMS1","UL","S0257X","S0124X",1,45.516,125.516
105,"Site 0174-Site 0257 OMS1","UL","S0174X","S0257X",2,17.808,102.574
118,"Site 0102-Site 0082 OMS1","UL","S0102X","S0082X",2,56.427,136.427
120,"Site 0349-Site 0361 OMS1","UL","S0349X","S0361X",1,23.805,83.805
125,"Site 0349-Site 0350 OMS1","UL","S0349X","S0350X",2,15.521,75.521
126,"Site 0050-Site 0122 OMS1","OL","S0050X","S0122X",3,80.228,140.228
137,"Site 0050-Site 0028 OMS1","UL","S0050X","S0028X",1,35.692,115.692
148,"Site 0006-Site 0003 OMS2","UL","S0006X","S0003X",3,27.013,107.013
150,"Site 0006-Site 0012 OMS1","UL","S0006X","S0012X",1,33.085,113.085
152,"Site 0022-Site 0034 OMS1","UL","S0022X","S0034X",1,25.173,85.173
153,"Site 0022-Site 0064 OMS1","UL","S0022X","S0064X",1,59.541,119.541
155,"Site 0022-Site 0020 OMS1","UL","S0022X","S0020X",1,35.129,95.129
156,"Site 0022-Site 0043 OMS1","UL","S0022X","S0043X",2,56.590,116.590
171,"Site 0135-Site 0122 OMS2","UL","S0135X","S0122X",2,27.141,87.141
182,"Site 0232-Site 0122 OMS1","UL","S0232X","S0122X",4,64.346,124.346
186,"Site 0122-Site 0120 OMS1","UL","S0122X","S0120X",2,22.597,82.597
187,"Site 0209-Site 0123 OMS1","UL","S0209X","S0123X",2,49.343,109.343
188,"Site 0209-Site 0240 OMS1","UL","S0209X","S0240X",1,7.194,67.194
190,"Site 0209-Site 0204 OMS1","UL","S0209X","S0204X",1,6.314,66.314
196,"Site 0209-Site 0190 OMS2","UL","S0209X","S0190X",1,6.324,66.324
197,"Site 0209-Site 0200 OMS1","UL","S0209X","S0200X",1,2.464,62.464
198,"Site 0066-Site 0068 OMS1","UL","S0066X","S0068X",2,35.781,95.781
201,"Site 0096-Site 0066 OMS1","UL","S0096X","S0066X",2,32.474,92.474
202,"Site 0066-Site 0046 OMS1","UL","S0066X","S0046X",3,45.087,105.087
208,"Site 0092-Site 0112 OMS1","UL","S0092X","S0112X",3,18.645,98.645
215,"Site 0112-Site 0162 OMS1","UL","S0112X","S0162X",3,34.129,114.129
218,"Site 0108-Site 0131 OMS1","UL","S0108X","S0131X",3,120.538,455.632
221,"Site 0109-Site 0108 OMS1","UL","S0109X","S0108X",2,64.757,232.103
222,"Site 0139-Site 0124 OMS1","UL","S0139X","S0124X",1,19.167,99.167
226,"Site 0236-Site 0243 OMS1","UL","S0236X","S0243X",1,3.546,83.546
232,"Site 0236-Site 0237 OMS1","UL","S0236X","S0237X",1,4.089,84.089
235,"Site 0297-Site 0295 OMS1","UL","S0297X","S0295X",2,22.105,142.483
237,"Site 0295-Site 0279 OMS1","UL","S0295X","S0279X",1,36.547,189.641
238,"Site 0016-Site 0039 OMS1","UL","S0016X","S0039X",1,43.341,123.341
240,"Site 0016-Site 0010 OMS1","UL","S0016X","S0010X",1,45.466,125.466
241,"Site 0016-Site 0017 OMS1","UL","S0016X","S0017X",1,39.483,119.483
243,"Site 0363-Site 0338 OMS1","UL","S0363X","S0338X",2,39.362,119.362
244,"Site 0338-Site 0337 OMS1","UL","S0338X","S0337X",1,33.622,113.622
245,"Site 0330-Site 0347 OMS1","UL","S0330X","S0347X",2,26.731,106.731
246,"Site 0347-Site 0348 OMS1","UL","S0347X","S0348X",1,48.979,128.979
248,"Site 0076-Site 0062 OMS1","UL","S0076X","S0062X",1,30.462,110.462
249,"Site 0076-Site 0077 OMS1","UL","S0076X","S0077X",1,16.921,96.921
251,"Site 0088-Site 0075 OMS1","UL","S0088X","S0075X",1,55.488,135.488
253,"Site 0090-Site 0088 OMS1","UL","S0090X","S0088X",4,52.933,205.857
255,"Site 0299-Site 0280 OMS1","UL","S0299X","S0280X",2,15.839,95.839
257,"Site 0280-Site 0230 OMS1","UL","S0280X","S0230X",1,22.549,102.549
261,"Site 0234-Site 0182 OMS1","UL","S0234X","S0182X",2,31.038,111.038
262,"Site 0267-Site 0182 OMS1","UL","S0267X","S0182X",3,37.593,117.593
266,"Site 0183-Site 0180 OMS1","UL","S0183X","S0180X",2,28.403,108.403
267,"Site 0264-Site 0180 OMS1","UL","S0264X","S0180X",2,25.201,105.201
268,"Site 0183-Site 0135 OMS1","UL","S0183X","S0135X",5,41.187,121.187
271,"Site 0013-Site 0000 OMS1","UL","S0013X","S0000X",4,76.610,251.908
274,"Site 0028-Site 0013 OMS1","UL","S0028X","S0013X",2,19.741,99.741
276,"Site 0268-Site 0243 OMS1","UL","S0268X","S0243X",1,8.036,88.036
279,"Site 0289-Site 0268 OMS2","UL","S0289X","S0268X",2,10.137,90.137
280,"Site 0057-Site 0059 OMS1","UL","S0057X","S0059X",1,22.507,147.521
284,"Site 0044-Site 0057 OMS1","UL","S0044X","S0057X",2,40.124,120.124
286,"Site 0105-Site 0124 OMS1","UL","S0105X","S0124X",3,16.108,96.108
287,"Site 0163-Site 0150 OMS1","UL","S0163X","S0150X",2,21.706,123.824
288,"Site 0163-Site 0192 OMS1","UL","S0163X","S0192X",1,8.361,88.361
289,"Site 0163-Site 0190 OMS1","UL","S0163X","S0190X",1,4.789,84.789
290,"Site 0163-Site 0148 OMS1","UL","S0163X","S0148X",2,20.677,120.737
295,"Site 0240-Site 0195 OMS3","UL","S0240X","S0195X",1,4.984,84.984
301,"Site 0027-Site 0055 OMS1","UL","S0027X","S0055X",2,74.032,235.028
302,"Site 0012-Site 0027 OMS1","UL","S0012X","S0027X",2,35.473,115.473
303,"Site 0320-Site 0321 OMS1","UL","S0320X","S0321X",2,30.611,110.611
305,"Site 0308-Site 0321 OMS1","UL","S0308X","S0321X",3,13.396,93.396
306,"Site 0150-Site 0138 OMS1","UL","S0150X","S0138X",1,21.142,143.426
310,"Site 0275-Site 0293 OMS1","UL","S0275X","S0293X",3,19.805,99.805
311,"Site 0275-Site 0308 OMS1","UL","S0275X","S0308X",5,20.236,100.236
315,"Site 0138-Site 0147 OMS1","UL","S0138X","S0147X",1,14.636,123.908
317,"Site 0092-Site 0051 OMS1","UL","S0092X","S0051X",4,77.386,157.386
324,"Site 0092-Site 0102 OMS1","UL","S0092X","S0102X",3,37.281,117.281
325,"Site 0318-Site 0332 OMS1","UL","S0318X","S0332X",2,18.923,98.923
328,"Site 0332-Site 0360 OMS1","UL","S0332X","S0360X",1,52.648,132.648
331,"Site 0364-Site 0368 OMS1","UL","S0364X","S0368X",2,97.046,192.046
332,"Site 0364-Site 0365 OMS1","UL","S0364X","S0365X",3,64.636,144.636
334,"Site 0304-Site 0320 OMS1","UL","S0304X","S0320X",2,65.246,248.574
336,"Site 0289-Site 0320 OMS1","UL","S0289X","S0320X",3,47.679,127.679
341,"Site 0152-Site 0140 OMS1","UL","S0152X","S0140X",2,43.419,123.419
342,"Site 0126-Site 0140 OMS1","UL","S0126X","S0140X",2,15.316,95.316
344,"Site 0062-Site 0048 OMS1","UL","S0062X","S0048X",1,31.233,111.233
346,"Site 0318-Site 0315 OMS1","UL","S0318X","S0315X",3,45.469,125.469
347,"Site 0318-Site 0323 OMS1","UL","S0318X","S0323X",1,14.591,94.591
348,"Site 0118-Site 0074 OMS1","UL","S0118X","S0074X",1,57.052,251.156
349,"Site 0118-Site 0107 OMS1","UL","S0118X","S0107X",1,9.401,108.203
350,"Site 0059-Site 0074 OMS1","UL","S0059X","S0074X",3,50.778,172.188
352,"Site 0226-Site 0278 OMS1","UL","S0226X","S0278X",2,26.783,106.783
353,"Site 0151-Site 0226 OMS1","UL","S0151X","S0226X",2,15.933,95.933
354,"Site 0229-Site 0226 OMS1","UL","S0229X","S0226X",2,35.987,183.427
356,"Site 0315-Site 0312 OMS1","UL","S0315X","S0312X",3,28.301,108.301
359,"Site 0312-Site 0348 OMS2","UL","S0312X","S0348X",2,58.795,138.795
362,"Site 0293-Site 0278 OMS1","UL","S0293X","S0278X",2,10.657,90.657
365,"Site 0299-Site 0324 OMS1","UL","S0299X","S0324X",2,23.175,103.175
368,"Site 0336-Site 0324 OMS1","UL","S0336X","S0324X",3,43.511,123.511
373,"Site 0204-Site 0225 OMS1","UL","S0204X","S0225X",1,9.419,89.419
376,"Site 0172-Site 0204 OMS3","UL","S0172X","S0204X",6,18.265,98.265
382,"Site 0001-Site 0000 OMS1","UL","S0001X","S0000X",4,59.907,139.907
384,"Site 0315-Site 0297 OMS1","UL","S0315X","S0297X",2,35.932,115.932
385,"Site 0297-Site 0311 OMS1","UL","S0297X","S0311X",2,14.492,94.492
387,"Site 0068-Site 0061 OMS1","UL","S0068X","S0061X",2,8.078,88.078
390,"Site 0034-Site 0056 OMS1","UL","S0034X","S0056X",1,36.768,116.768
391,"Site 0363-Site 0352 OMS1","UL","S0363X","S0352X",3,51.753,131.753
392,"Site 0352-Site 0337 OMS1","UL","S0352X","S0337X",1,35.833,187.499
396,"Site 0192-Site 0241 OMS3","UL","S0192X","S0241X",2,8.892,88.892
403,"Site 0192-Site 0200 OMS1","UL","S0192X","S0200X",1,2.900,82.900
406,"Site 0051-Site 0039 OMS2","UL","S0051X","S0039X",2,33.733,113.733
409,"Site 0026-Site 0048 OMS1","UL","S0026X","S0048X",1,46.360,126.360
411,"Site 0026-Site 0001 OMS1","UL","S0026X","S0001X",1,40.010,120.010
413,"Site 0260-Site 0157 OMS1","UL","S0260X","S0157X",2,79.510,254.720
417,"Site 0260-Site 0145 OMS3","UL","S0260X","S0145X",4,113.437,331.441
418,"Site 0260-Site 0281 OMS1","UL","S0260X","S0281X",2,44.718,124.718
423,"Site 0153-Site 0152 OMS1","UL","S0153X","S0152X",2,16.450,96.450
427,"Site 0315-Site 0311 OMS1","UL","S0315X","S0311X",3,67.951,147.951
428,"Site 0361-Site 0368 OMS1","UL","S0361X","S0368X",1,50.810,130.810
429,"Site 0361-Site 0360 OMS1","UL","S0361X","S0360X",1,37.022,117.022
432,"Site 0061-Site 0075 OMS1","UL","S0061X","S0075X",1,29.982,109.982
433,"Site 0061-Site 0035 OMS1","UL","S0061X","S0035X",2,32.267,112.267
435,"Site 0243-Site 0241 OMS2","UL","S0243X","S0241X",1,6.731,86.731
436,"Site 0243-Site 0238 OMS1","UL","S0243X","S0238X",1,7.181,87.181
438,"Site 0033-Site 0081 OMS1","UL","S0033X","S0081X",4,67.733,147.733
439,"Site 0033-Site 0017 OMS1","UL","S0033X","S0017X",1,50.301,130.301
440,"Site 0033-Site 0043 OMS1","UL","S0033X","S0043X",1,23.134,103.134
446,"Site 0363-Site 0358 OMS1","UL","S0363X","S0358X",2,21.228,101.228
447,"Site 0363-Site 0367 OMS1","UL","S0363X","S0367X",3,62.431,142.431
453,"Site 0232-Site 0304 OMS1","UL","S0232X","S0304X",3,50.781,130.781
456,"Site 0096-Site 0130 OMS1","UL","S0096X","S0130X",1,27.303,107.303
459,"Site 0203-Site 0225 OMS1","UL","S0203X","S0225X",1,12.086,92.086
460,"Site 0203-Site 0250 OMS1","UL","S0203X","S0250X",2,10.395,90.395
462,"Site 0157-Site 0130 OMS1","UL","S0157X","S0130X",1,19.349,99.349
463,"Site 0046-Site 0030 OMS1","UL","S0046X","S0030X",1,42.133,206.399
468,"Site 0032-Site 0030 OMS2","UL","S0032X","S0030X",2,46.583,126.583
470,"Site 0020-Site 0044 OMS1","UL","S0020X","S0044X",2,74.034,238.848
472,"Site 0323-Site 0336 OMS1","UL","S0323X","S0336X",2,54.910,134.910
474,"Site 0028-Site 0010 OMS1","UL","S0028X","S0010X",5,50.441,130.441
476,"Site 0174-Site 0151 OMS1","UL","S0174X","S0151X",2,31.232,111.232
478,"Site 0151-Site 0172 OMS1","UL","S0151X","S0172X",2,20.511,100.511
479,"Site 0329-Site 0145 OMS1","UL","S0329X","S0145X",4,116.161,211.161
492,"Site 0241-Site 0233 OMS1","UL","S0241X","S0233X",1,3.415,83.415
498,"Site 0234-Site 0233 OMS1","UL","S0234X","S0233X",1,4.972,84.972
500,"Site 0328-Site 0339 OMS1","UL","S0328X","S0339X",2,27.290,107.290
503,"Site 0339-Site 0340 OMS1","UL","S0339X","S0340X",1,19.824,99.824
504,"Site 0032-Site 0018 OMS1","UL","S0032X","S0018X",2,64.606,144.606
505,"Site 0001-Site 0018 OMS1","UL","S0001X","S0018X",2,77.573,157.573
506,"Site 0035-Site 0032 OMS1","UL","S0035X","S0032X",2,23.418,103.418
508,"Site 0303-Site 0328 OMS1","UL","S0303X","S0328X",1,43.520,123.520
509,"Site 0177-Site 0303 OMS1","UL","S0177X","S0303X",3,83.033,178.033
514,"Site 0337-Site 0342 OMS1","UL","S0337X","S0342X",2,31.001,111.001
516,"Site 0337-Site 0325 OMS1","UL","S0337X","S0325X",2,22.124,102.124
520,"Site 0238-Site 0250 OMS1","UL","S0238X","S0250X",1,7.501,87.501
522,"Site 0239-Site 0245 OMS1","UL","S0239X","S0245X",1,1.999,81.999
526,"Site 0195-Site 0245 OMS2","UL","S0195X","S0245X",1,1.402,81.402
527,"Site 0267-Site 0290 OMS1","UL","S0267X","S0290X",1,13.446,93.446
530,"Site 0290-Site 0289 OMS1","UL","S0290X","S0289X",1,5.970,85.970
536,"Site 0251-Site 0273 OMS1","UL","S0251X","S0273X",2,4.382,84.382
537,"Site 0273-Site 0237 OMS1","UL","S0273X","S0237X",1,3.266,83.266
538,"Site 0330-Site 0308 OMS1","UL","S0330X","S0308X",2,21.440,101.440
539,"Site 0250-Site 0251 OMS1","UL","S0250X","S0251X",1,6.573,86.573
540,"Site 0250-Site 0256 OMS1","UL","S0250X","S0256X",2,10.350,90.350
542,"Site 0077-Site 0055 OMS1","UL","S0077X","S0055X",3,50.476,130.476
546,"Site 0281-Site 0130 OMS1","UL","S0281X","S0130X",1,58.035,138.035
549,"Site 0056-Site 0073 OMS1","UL","S0056X","S0073X",1,25.645,105.645
550,"Site 0001-Site 0003 OMS1","UL","S0001X","S0003X",2,15.480,95.480
553,"Site 0342-Site 0355 OMS1","UL","S0342X","S0355X",3,26.714,106.714
555,"Site 0355-Site 0350 OMS1","UL","S0355X","S0350X",2,20.046,100.046
556,"Site 0130-Site 0131 OMS1","UL","S0130X","S0131X",1,28.591,108.591
557,"Site 0147-Site 0162 OMS1","UL","S0147X","S0162X",1,7.723,87.723
560,"Site 0307-Site 0256 OMS1","UL","S0307X","S0256X",3,33.343,168.961
561,"Site 0307-Site 0291 OMS1","UL","S0307X","S0291X",3,7.063,87.063
564,"Site 0365-Site 0367 OMS1","UL","S0365X","S0367X",1,12.770,92.770
571,"Site 0264-Site 0158 OMS1","UL","S0264X","S0158X",3,35.360,115.360
572,"Site 0094-Site 0073 OMS1","UL","S0094X","S0073X",2,18.852,98.852
574,"Site 0148-Site 0162 OMS1","UL","S0148X","S0162X",3,86.053,287.655
581,"Site 0109-Site 0120 OMS1","UL","S0109X","S0120X",3,29.390,109.390
584,"Site 0162-Site 0198 OMS1","UL","S0162X","S0198X",2,16.327,96.327
585,"Site 0325-Site 0300 OMS1","UL","S0325X","S0300X",3,17.619,97.619
587,"Site 0358-Site 0340 OMS1","UL","S0358X","S0340X",1,61.941,265.823
589,"Site 0119-Site 0177 OMS1","UL","S0119X","S0177X",1,55.902,135.902
590,"Site 0107-Site 0119 OMS1","UL","S0107X","S0119X",4,62.171,142.171
593,"Site 0229-Site 0279 OMS1","UL","S0229X","S0279X",1,10.805,112.415
594,"Site 0022-Site 0006 OMS1","OL","S0022X","S0006X",5,208.801,313.801
595,"Site 0050-Site 0082 OMS1","OL","S0050X","S0082X",6,120.932,215.932
596,"Site 0022-Site 0082 OMS1","OL","S0022X","S0082X",2,86.745,161.745
597,"Site 0066-Site 0006 OMS1","OL","S0066X","S0006X",15,267.128,387.128
598,"Site 0122-Site 0006 OMS1","OL","S0122X","S0006X",11,172.261,317.401
599,"Site 0066-Site 0122 OMS1","OL","S0066X","S0122X",12,180.315,250.315
600,"Site 0006-Site 0050 OMS1","OL","S0006X","S0050X",6,128.788,223.788
601,"Site 0282-Site 0122 OMS2","OL","S0282X","S0122X",7,141.565,231.565
602,"Site 0022-Site 0143 OMS1","OL","S0022X","S0143X",12,206.594,311.852
603,"Site 0082-Site 0125 OMS1","OL","S0082X","S0125X",5,70.670,165.670
604,"Site 0125-Site 0258 OMS1","OL","S0125X","S0258X",8,132.285,207.285
605,"Site 0349-Site 0258 OMS1","OL","S0349X","S0258X",11,145.777,215.777
606,"Site 0050-Site 0193 OMS1","OL","S0050X","S0193X",8,124.904,214.904
607,"Site 0349-Site 0257 OMS1","OL","S0349X","S0257X",4,117.348,192.348
608,"Site 0066-Site 0282 OMS1","OL","S0066X","S0282X",10,192.162,297.162
609,"Site 0349-Site 0193 OMS1","OL","S0349X","S0193X",17,374.438,504.438
610,"Site 0191-Site 0257 OMS1","OL","S0191X","S0257X",6,77.931,152.931
611,"Site 0191-Site 0082 OMS1","OL","S0191X","S0082X",4,109.736,184.736
612,"Site 0193-Site 0122 OMS1","OL","S0193X","S0122X",6,77.916,132.916
613,"Site 0191-Site 0282 OMS1","OL","S0191X","S0282X",11,136.365,211.365
614,"Site 0125-Site 0143 OMS1","OL","S0125X","S0143X",7,130.242,225.242
615,"Site 0193-Site 0209 OMS2","OL","S0193X","S0209X",2,8.737,48.737
616,"Site 0082-Site 0209 OMS1","OL","S0082X","S0209X",4,102.433,177.433
675,"Site 0139-Site 0084 OMS1","UB","S0139X","S0084X",5,91.539,186.539
700,"Site 0055-Site 0182 OMS1","UB","S0055X","S0182X",10,168.585,278.585
740,"Site 0064-Site 0123 OMS1","UB","S0064X","S0123X",3,80.294,175.294
813,"Site 0135-Site 0158 OMS1","UB","S0135X","S0158X",5,52.293,132.293
823,"Site 0126-Site 0084 OMS1","UB","S0126X","S0084X",2,70.007,150.007
842,"Site 0105-Site 0081 OMS2","UB","S0105X","S0081X",4,31.382,111.382
877,"Site 0126-Site 0094 OMS2","UB","S0126X","S0094X",3,50.945,130.945
913,"Site 0090-Site 0262 OMS1","UB","S0090X","S0262X",8,146.430,241.430
